month,oil_1m_ret,oil_3m_ret,vix_level,vix_1m_chg,gs10_level,gs10_1m_chg,hy_spread,hy_spread_chg,gdp_growth,unrate,unrate_chg
2008-02-29,0.025981622430059748,0.006474661092743528,25.456,-0.36019047619047484,3.74,0.0,7.245238095238095,0.4484199134199134,-1.7,4.9,-0.09999999999999964
2008-03-31,0.10555008072463457,0.1501521480689738,27.103500000000004,1.6475000000000044,3.51,-0.23000000000000043,8.083,0.8377619047619049,-1.7,5.1,0.1999999999999993
2008-04-30,0.067578797821368,0.21092694324595906,21.562727272727273,-5.540772727272731,3.68,0.17000000000000037,7.3931818181818185,-0.6898181818181817,2.4,5.0,-0.09999999999999964
2008-05-31,0.11384893189420864,0.31463337436960415,18.303333333333335,-3.259393939393938,3.88,0.19999999999999973,6.685652173913044,-0.7075296442687744,2.4,5.4,0.40000000000000036
2008-06-30,0.06764387567167285,0.2695582908187457,22.11047619047619,3.807142857142857,4.1,0.21999999999999975,6.730952380952381,0.045300207039336904,2.4,5.6,0.1999999999999993
2008-07-31,-0.0038025911942851653,0.18467197196348484,24.321818181818184,2.2113419913419925,4.01,-0.08999999999999986,7.748695652173913,1.0177432712215317,-2.1,5.8,0.20000000000000018
2008-08-31,-0.1252500918572299,-0.06962993905101877,20.695714285714285,-3.626103896103899,3.89,-0.11999999999999966,8.19909090909091,0.45039525691699644,-2.1,6.1,0.2999999999999998
2008-09-30,-0.10758819423752741,-0.22233129881770453,30.23857142857143,9.542857142857144,3.69,-0.20000000000000018,9.19,0.9909090909090903,-2.1,6.1,0.0
2008-10-31,-0.2641865126712166,-0.42559665991362916,61.17739130434782,30.938819875776392,3.81,0.1200000000000001,14.942608695652174,5.7526086956521745,-8.5,6.5,0.40000000000000036
2008-11-30,-0.25191946950235966,-0.5087739348452764,62.66894736842105,1.4915560640732295,3.53,-0.28000000000000025,17.959047619047617,3.0164389233954427,-8.5,6.8,0.2999999999999998
2008-12-31,-0.2824603762999178,-0.6050319329408242,52.405,-10.26394736842105,2.42,-1.1099999999999999,20.309545454545454,2.350497835497837,-8.5,7.3,0.5
2009-01-31,0.014303400097271934,-0.4555448354143019,44.683,-7.722000000000001,2.52,0.10000000000000009,16.733636363636364,-3.5759090909090894,-4.5,7.8,0.5
2009-02-28,-0.06287776501911702,-0.31795973844684455,45.57052631578947,0.8875263157894722,2.87,0.3500000000000001,16.536190476190477,-0.19744588744588754,-4.5,8.3,0.5000000000000009
2009-03-31,0.22645992415469718,0.16578237608878288,44.79545454545455,-0.7750717703349252,2.82,-0.050000000000000266,17.837727272727275,1.3015367965367979,-4.5,8.7,0.3999999999999986
2009-04-30,0.03561969418264321,0.19028210660912626,38.063809523809525,-6.731645021645022,2.93,0.11000000000000032,15.596666666666668,-2.241060606060607,-0.7,9.0,0.3000000000000007
2009-05-31,0.18897206928964683,0.5101681792475694,31.977999999999998,-6.085809523809527,3.29,0.3599999999999999,12.50590909090909,-3.0907575757575767,-0.7,9.4,0.40000000000000036
2009-06-30,0.17978449547098596,0.4526956554719055,29.140454545454546,-2.8375454545454524,3.72,0.43000000000000016,10.80590909090909,-1.700000000000001,-0.7,9.5,0.09999999999999964
2009-07-31,-0.07881339338163318,0.29217683753067125,26.162727272727274,-2.9777272727272717,3.56,-0.16000000000000014,10.27,-0.5359090909090902,1.4,9.5,0.0
2009-08-31,0.1074395167072395,0.20356712274175903,25.337142857142858,-0.8255844155844159,3.59,0.029999999999999805,8.971428571428572,-1.298571428571428,1.4,9.6,0.09999999999999964
2009-09-30,-0.023037119455206256,-0.003343061655182389,24.92666666666667,-0.41047619047618866,3.4,-0.18999999999999995,8.452272727272726,-0.5191558441558453,1.4,9.8,0.20000000000000107
2009-10-31,0.09087353983310975,0.1802458638891844,24.252272727272725,-0.6743939393939442,3.39,-0.009999999999999787,7.76304347826087,-0.6892292490118566,4.4,10.0,0.1999999999999993
2009-11-30,0.030040702630662608,0.09775862300092486,23.788999999999998,-0.4632727272727273,3.4,0.009999999999999787,7.561904761904763,-0.20113871635610714,4.4,9.9,-0.09999999999999964
2009-12-31,-0.04513399153737652,0.07292960200882304,21.239545454545453,-2.5494545454545445,3.59,0.18999999999999995,6.9363636363636365,-0.6255411255411261,4.4,9.9,0.0
2010-01-31,0.051776412967425856,0.03447558948038254,20.643157894736845,-0.5963875598086084,3.73,0.14000000000000012,6.225714285714286,-0.7106493506493505,1.9,9.8,-0.09999999999999964
2010-02-28,-0.024748184035640608,-0.02054919321640425,22.54,1.896842105263154,3.69,-0.040000000000000036,6.730952380952381,0.505238095238095,1.9,9.8,0.0
2010-03-31,0.06304851102174647,0.09041866873733828,17.767391304347825,-4.772608695652174,3.73,0.040000000000000036,6.121739130434783,-0.6092132505175982,1.9,9.9,0.09999999999999964
2010-04-30,0.03804490827428375,0.07618266868765788,17.424285714285716,-0.34310559006210894,3.85,0.1200000000000001,5.593809523809524,-0.5279296066252588,3.9,9.9,0.0
2010-05-31,-0.12515125836793495,-0.034611330062837564,31.9295,14.505214285714285,3.42,-0.43000000000000016,6.5009523809523815,0.9071428571428575,3.9,9.6,-0.3000000000000007
2010-06-30,0.021593890863724985,-0.0722576088564909,29.916363636363634,-2.0131363636363666,3.2,-0.21999999999999975,7.016818181818182,0.5158658008658001,3.9,9.4,-0.1999999999999993
2010-07-31,0.013056386130918973,-0.09459085388243926,25.565238095238094,-4.3511255411255405,3.01,-0.1900000000000004,6.778695652173913,-0.2381225296442686,3.1,9.4,0.0
2010-08-31,0.0036631137828484484,0.03872328963353944,24.74590909090909,-0.8193290043290027,2.7,-0.3099999999999996,6.755909090909091,-0.022786561264822147,3.1,9.5,0.09999999999999964
2010-09-30,-0.01771804509790964,-0.0012478024110772479,22.517619047619046,-2.2282900432900448,2.65,-0.050000000000000266,6.421363636363637,-0.33454545454545404,3.1,9.5,0.0
2010-10-31,0.08839425851855598,0.07302631168458418,20.37333333333333,-2.144285714285715,2.54,-0.10999999999999988,6.008181818181819,-0.4131818181818181,2.1,9.4,-0.09999999999999964
2010-11-30,0.02881814217182721,0.09991980509076592,20.095714285714287,-0.2776190476190443,2.76,0.21999999999999975,5.872727272727272,-0.1354545454545466,2.1,9.8,0.40000000000000036
2010-12-31,0.05807579842373056,0.1847907010462071,17.56954545454545,-2.5261688311688353,3.29,0.5300000000000002,5.551304347826087,-0.32142292490118507,2.1,9.3,-0.5
2011-01-31,0.0002758501129405122,0.0888678587003926,17.3155,-0.2540454545454516,3.39,0.10000000000000009,5.1242857142857146,-0.4270186335403725,-0.9,9.1,-0.20000000000000107
2011-02-28,-0.006639852275903135,0.051340263778118844,17.43,0.1144999999999996,3.58,0.18999999999999995,4.657500000000001,-0.4667857142857139,-0.9,9.0,-0.09999999999999964
2011-03-31,0.16119163693395566,0.15379968400164667,20.723478260869566,3.2934782608695663,3.41,-0.16999999999999993,4.8365217391304345,0.17902173913043384,-0.9,9.0,0.0
2011-04-30,0.06490573614574968,0.22834906162912616,16.244,-4.479478260869566,3.46,0.04999999999999982,4.6623809523809525,-0.17414078674948197,2.7,9.1,0.09999999999999964
2011-05-31,-0.0788078772010482,0.1391089950736768,16.91142857142857,0.6674285714285695,3.17,-0.29000000000000004,4.846818181818182,0.18443722943722918,2.7,9.0,-0.09999999999999964
2011-06-30,-0.04595008325464067,-0.06409346455210252,19.153181818181817,2.241753246753248,3.0,-0.16999999999999993,5.49,0.6431818181818185,2.7,9.1,0.09999999999999964
2011-07-31,0.010797474749859592,-0.11164722799169191,19.2275,0.07431818181818173,3.0,0.0,5.434545454545455,-0.055454545454545645,-0.1,9.0,-0.09999999999999964
2011-08-31,-0.11274472677487579,-0.14437427118495905,35.02913043478261,15.80163043478261,2.3,-0.7000000000000002,6.990434782608696,1.555889328063241,-0.1,9.0,0.0
2011-09-30,-0.009472681027730911,-0.1116600459459357,36.53,1.5008695652173927,1.98,-0.31999999999999984,7.675454545454546,0.6850197628458501,-0.1,9.0,0.0
2011-10-31,0.009438585158868973,-0.11285430686068898,32.829047619047614,-3.700952380952387,2.15,0.16999999999999993,7.908571428571429,0.2331168831168835,4.6,8.8,-0.1999999999999993
2011-11-30,0.12555371061965936,0.1254146995865113,31.94190476190476,-0.8871428571428552,2.01,-0.14000000000000012,7.606363636363636,-0.3022077922077928,4.6,8.6,-0.20000000000000107
2011-12-31,0.014433656640707504,0.1525765388513327,25.047619047619047,-6.8942857142857115,1.98,-0.029999999999999805,7.516818181818182,-0.08954545454545482,4.6,8.5,-0.09999999999999964
2012-01-31,0.01735585703104614,0.16161647644212995,20.228,-4.819619047619046,1.97,-0.010000000000000009,6.835238095238095,-0.6815800865800865,3.4,8.3,-0.1999999999999993
2012-02-29,0.019252344836871105,0.051909212544783534,18.4205,-1.807500000000001,1.97,0.0,6.244285714285714,-0.5909523809523813,3.4,8.3,0.0
2012-03-31,0.03868466276004168,0.07705610764572413,16.167272727272728,-2.2532272727272726,2.17,0.19999999999999996,5.96304347826087,-0.2812422360248439,3.4,8.2,-0.10000000000000142
2012-04-30,-0.02672181616548286,0.030391878213087198,17.823,1.6557272727272725,2.05,-0.1200000000000001,6.1335,0.17045652173912984,1.8,8.2,0.0
2012-05-31,-0.08387892631173277,-0.07386652719516396,21.001818181818184,3.1788181818181833,1.8,-0.24999999999999978,6.313478260869566,0.17997826086956614,1.8,8.2,0.0
2012-06-30,-0.1304872582917148,-0.2247070896507628,21.13095238095238,0.12913419913419588,1.62,-0.17999999999999994,6.7713636363636365,0.4578853754940706,1.8,8.2,0.0
2012-07-31,0.06794262802524931,-0.1492993864244626,17.565238095238094,-3.565714285714286,1.53,-0.09000000000000008,6.355,-0.41636363636363605,0.6,8.2,0.0
2012-08-31,0.07094885215318447,-0.005527902587315614,15.689565217391305,-1.8756728778467888,1.68,0.1499999999999999,5.923043478260869,-0.43195652173913146,0.6,8.1,-0.09999999999999964
